timestamp,open,high,low,close,volume
2025-01-01T00:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T01:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T02:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T03:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T04:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T05:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T06:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T07:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T08:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T09:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T10:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T11:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T12:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T13:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T14:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T15:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T16:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T17:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T18:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T19:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T20:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T21:00:00+00:00,0.55935,0.55935,0.55935,0.55935,0
2025-01-01T22:00:00+00:00,0.55941,0.56012,0.55886,0.56009,0
2025-01-01T23:00:00+00:00,0.56008,0.56035,0.55927,0.55971,0
2025-01-02T00:00:00+00:00,0.55971,0.56052,0.55924,0.56028,0
2025-01-02T01:00:00+00:00,0.56029,0.56157,0.56006,0.56144,0
