timestamp,open,high,low,close,volume
2025-01-01T00:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T01:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T02:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T03:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T04:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T05:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T06:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T07:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T08:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T09:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T10:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T11:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T12:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T13:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T14:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T15:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T16:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T17:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T18:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T19:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T20:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T21:00:00+00:00,1.25107,1.25107,1.25107,1.25107,0
2025-01-01T22:00:00+00:00,1.25134,1.25150,1.25097,1.25125,0
2025-01-01T23:00:00+00:00,1.25125,1.25194,1.25059,1.25193,0
2025-01-02T00:00:00+00:00,1.25190,1.25203,1.25089,1.25161,0
2025-01-02T01:00:00+00:00,1.25162,1.25220,1.25114,1.25196,0
2025-01-02T02:00:00+00:00,1.25198,1.25331,1.25196,1.25331,0
2025-01-02T03:00:00+00:00,1.25332,1.25364,1.25299,1.25362,0
2025-01-02T04:00:00+00:00,1.25363,1.25402,1.25312,1.25342,0
2025-01-02T05:00:00+00:00,1.25341,1.25355,1.25290,1.25320,0
2025-01-02T06:00:00+00:00,1.25320,1.25330,1.25277,1.25290,0
2025-01-02T07:00:00+00:00,1.25287,1.25339,1.25201,1.25213,0
2025-01-02T08:00:00+00:00,1.25213,1.25236,1.24907,1.24977,0
2025-01-02T09:00:00+00:00,1.24978,1.25025,1.24797,1.24820,0
2025-01-02T10:00:00+00:00,1.24820,1.24916,1.24458,1.24462,0
2025-01-02T11:00:00+00:00,1.24462,1.24540,1.24348,1.24531,0
2025-01-02T12:00:00+00:00,1.24533,1.24568,1.24150,1.24196,0
2025-01-02T13:00:00+00:00,1.24198,1.24209,1.23981,1.24040,0
2025-01-02T14:00:00+00:00,1.24040,1.24111,1.23885,1.23982,0
2025-01-02T15:00:00+00:00,1.23981,1.23991,1.23699,1.23746,0
2025-01-02T16:00:00+00:00,1.23747,1.23790,1.23521,1.23742,0
2025-01-02T17:00:00+00:00,1.23742,1.23802,1.23612,1.23718,0
2025-01-02T18:00:00+00:00,1.23718,1.23759,1.23659,1.23688,0
2025-01-02T19:00:00+00:00,1.23692,1.23780,1.23634,1.23685,0
2025-01-02T20:00:00+00:00,1.23686,1.23848,1.23685,1.23779,0
2025-01-02T21:00:00+00:00,1.23779,1.23818,1.23768,1.23768,0
2025-01-02T22:00:00+00:00,1.23769,1.23826,1.23750,1.23798,0
2025-01-02T23:00:00+00:00,1.23800,1.23808,1.23756,1.23793,0
2025-01-03T00:00:00+00:00,1.23792,1.23872,1.23779,1.23863,0
2025-01-03T01:00:00+00:00,1.23864,1.23898,1.23823,1.23849,0
2025-01-03T02:00:00+00:00,1.23848,1.23916,1.23837,1.23906,0
2025-01-03T03:00:00+00:00,1.23908,1.23957,1.23906,1.23936,0
2025-01-03T04:00:00+00:00,1.23935,1.23941,1.23902,1.23936,0
2025-01-03T05:00:00+00:00,1.23938,1.23972,1.23856,1.23951,0
2025-01-03T06:00:00+00:00,1.23950,1.24038,1.23944,1.24033,0
2025-01-03T07:00:00+00:00,1.24033,1.24063,1.23870,1.23994,0
2025-01-03T08:00:00+00:00,1.23995,1.24068,1.23903,1.23935,0
2025-01-03T09:00:00+00:00,1.23934,1.24166,1.23929,1.24055,0
2025-01-03T10:00:00+00:00,1.24060,1.24077,1.23861,1.23922,0
2025-01-03T11:00:00+00:00,1.23921,1.24162,1.23921,1.24065,0
2025-01-03T12:00:00+00:00,1.24065,1.24124,1.24028,1.24063,0
2025-01-03T13:00:00+00:00,1.24063,1.24117,1.23984,1.24013,0
2025-01-03T14:00:00+00:00,1.24013,1.24130,1.23935,1.24107,0
