timestamp,open,high,low,close,volume
1325376000000,1.29484,1.29484,1.29484,1.29484,0
1325379600000,1.29484,1.29484,1.29484,1.29484,0
1325383200000,1.29484,1.29484,1.29484,1.29484,0
1325386800000,1.29484,1.29484,1.29484,1.29484,0
1325390400000,1.29484,1.29484,1.29484,1.29484,0
1325394000000,1.29484,1.29484,1.29484,1.29484,0
1325397600000,1.29484,1.29484,1.29484,1.29484,0
1325401200000,1.29484,1.29484,1.29484,1.29484,0
1325404800000,1.29484,1.29484,1.29484,1.29484,0
1325408400000,1.29484,1.29484,1.29484,1.29484,0
1325412000000,1.29484,1.29484,1.29484,1.29484,0
1325415600000,1.29484,1.29484,1.29484,1.29484,0
1325419200000,1.29484,1.29484,1.29484,1.29484,0
1325422800000,1.29484,1.29484,1.29484,1.29484,0
1325426400000,1.29484,1.29484,1.29484,1.29484,0
1325430000000,1.29484,1.29484,1.29484,1.29484,0
1325433600000,1.29484,1.29484,1.29484,1.29484,0
1325437200000,1.29484,1.29484,1.29484,1.29484,0
1325440800000,1.29484,1.29484,1.29484,1.29484,0
1325444400000,1.29484,1.29484,1.29484,1.29484,0
1325448000000,1.29484,1.29484,1.29484,1.29484,0
1325451600000,1.29484,1.29484,1.29484,1.29484,0
1325455200000,1.29368,1.29458,1.29335,1.29431,0
1325458800000,1.2944,1.29519,1.29384,1.29445,0
1325462400000,1.29445,1.29478,1.29393,1.29444,0
1325466000000,1.2945,1.2945,1.29381,1.29397,0
1325469600000,1.29396,1.29397,1.29288,1.29316,0
1325473200000,1.29319,1.29419,1.29234,1.29259,0
1325476800000,1.29259,1.2929,1.29204,1.29219,0
1325480400000,1.29219,1.29339,1.29214,1.29295,0
1325484000000,1.29298,1.29404,1.2926,1.29336,0
1325487600000,1.29337,1.29451,1.2931,1.29384,0
1325491200000,1.29384,1.29533,1.29376,1.29403,0
1325494800000,1.29401,1.29639,1.29389,1.29555,0
1325498400000,1.29555,1.29612,1.29379,1.29459,0
1325502000000,1.29461,1.29513,1.29447,1.29493,0
1325505600000,1.29493,1.29497,1.29318,1.29384,0
1325509200000,1.29385,1.29439,1.29231,1.29271,0
1325512800000,1.29268,1.29369,1.29265,1.29325,0
1325516400000,1.29325,1.29409,1.29173,1.29208,0
1325520000000,1.29208,1.2927,1.29199,1.29199,0
1325523600000,1.29199,1.29264,1.29194,1.29264,0
1325527200000,1.2926,1.29311,1.29228,1.29248,0
1325530800000,1.29243,1.293,1.29243,1.29259,0
1325534400000,1.2926,1.29288,1.29215,1.29272,0
1325538000000,1.29268,1.29342,1.2926,1.29335,0
1325541600000,1.29335,1.29353,1.2931,1.2934,0
1325545200000,1.2934,1.29392,1.29319,1.29364,0
1325548800000,1.29364,1.29586,1.29352,1.29523,0
1325552400000,1.29523,1.29721,1.29515,1.29716,0
1325556000000,1.29716,1.29889,1.29715,1.29782,0
1325559600000,1.29782,1.29811,1.2972,1.29723,0
1325563200000,1.29723,1.29825,1.29718,1.2979,0
1325566800000,1.2979,1.29866,1.29734,1.2977,0
1325570400000,1.29769,1.29935,1.29769,1.29819,0
1325574000000,1.29817,1.30076,1.29817,1.29876,0
1325577600000,1.29876,1.29956,1.2974,1.29848,0
1325581200000,1.29848,1.30169,1.29809,1.3009,0
1325584800000,1.30089,1.30423,1.30087,1.30351,0
1325588400000,1.3035,1.30589,1.3031,1.30454,0
1325592000000,1.30454,1.30471,1.30195,1.30225,0
1325595600000,1.30225,1.3034,1.30116,1.30323,0
1325599200000,1.3032,1.3046,1.30258,1.30354,0
1325602800000,1.30355,1.30673,1.3031,1.3053,0
1325606400000,1.3053,1.30677,1.30493,1.30604,0
1325610000000,1.30602,1.30623,1.30452,1.3048,0
1325613600000,1.30482,1.30758,1.30475,1.30715,0
1325617200000,1.30715,1.30734,1.30511,1.30561,0
1325620800000,1.30562,1.30621,1.305,1.30537,0
1325624400000,1.30535,1.30558,1.30459,1.30491,0
1325628000000,1.30491,1.30573,1.30482,1.30509,0
1325631600000,1.30509,1.30542,1.30474,1.30537,0
