timestamp,open,high,low,close
1672531200000,0.68126,0.68126,0.68126,0.68126
1672534800000,0.68126,0.68126,0.68126,0.68126
1672538400000,0.68126,0.68126,0.68126,0.68126
1672542000000,0.68126,0.68126,0.68126,0.68126
1672545600000,0.68126,0.68126,0.68126,0.68126
1672549200000,0.68126,0.68126,0.68126,0.68126
1672552800000,0.68126,0.68126,0.68126,0.68126
1672556400000,0.68126,0.68126,0.68126,0.68126
1672560000000,0.68126,0.68126,0.68126,0.68126
1672563600000,0.68126,0.68126,0.68126,0.68126
1672567200000,0.68126,0.68126,0.68126,0.68126
1672570800000,0.68126,0.68126,0.68126,0.68126
1672574400000,0.68126,0.68126,0.68126,0.68126
1672578000000,0.68126,0.68126,0.68126,0.68126
1672581600000,0.68126,0.68126,0.68126,0.68126
1672585200000,0.68126,0.68126,0.68126,0.68126
1672588800000,0.68126,0.68126,0.68126,0.68126
1672592400000,0.68126,0.68126,0.68126,0.68126
1672596000000,0.68126,0.68126,0.68126,0.68126
1672599600000,0.68126,0.68126,0.68126,0.68126
1672603200000,0.68126,0.68126,0.68126,0.68126
1672606800000,0.68126,0.68126,0.68126,0.68126
1672610400000,0.67896,0.68166,0.67896,0.68166
1672614000000,0.68166,0.68182,0.6793,0.68131
1672617600000,0.68124,0.68147,0.67999,0.68016
1672621200000,0.68014,0.68091,0.68008,0.6801
1672624800000,0.68046,0.68056,0.68013,0.6804
1672628400000,0.68014,0.68056,0.68003,0.68005
1672632000000,0.68004,0.68056,0.68001,0.68002
1672635600000,0.68035,0.68036,0.67991,0.67992
1672639200000,0.68001,0.68046,0.67934,0.67966
1672642800000,0.67965,0.68031,0.6793,0.67977
1672646400000,0.67977,0.68102,0.67976,0.67997
1672650000000,0.67998,0.68004,0.67924,0.67944
1672653600000,0.67943,0.6802,0.67936,0.67948
1672657200000,0.67948,0.68052,0.67934,0.68043
1672660800000,0.6804,0.68113,0.67976,0.68074
1672664400000,0.68075,0.68079,0.67979,0.68041
1672668000000,0.68041,0.68136,0.68041,0.68121
1672671600000,0.68118,0.68167,0.68117,0.68164
1672675200000,0.68164,0.68181,0.68129,0.68135
1672678800000,0.68132,0.68153,0.68119,0.68121
1672682400000,0.68127,0.6815,0.6806,0.6808
1672686000000,0.68069,0.68124,0.68053,0.68067
1672689600000,0.68068,0.68076,0.6789,0.67976
1672693200000,0.67901,0.68001,0.67875,0.67963
1672696800000,0.67965,0.68013,0.67847,0.67932
1672700400000,0.67957,0.68089,0.67938,0.68074
1672704000000,0.68074,0.68101,0.67911,0.67955
1672707600000,0.67954,0.67954,0.67721,0.6781
1672711200000,0.67809,0.68141,0.67777,0.68108
1672714800000,0.68106,0.6834,0.68098,0.68306
1672718400000,0.68307,0.68338,0.68231,0.68263
1672722000000,0.68265,0.68284,0.67872,0.67954
1672725600000,0.67954,0.68022,0.67951,0.68006
1672729200000,0.68008,0.68087,0.67826,0.67865
1672732800000,0.67866,0.67872,0.67094,0.6712
