timestamp,open,high,low,close
1735689600000,0.55935,0.55935,0.55935,0.55935
1735693200000,0.55935,0.55935,0.55935,0.55935
1735696800000,0.55935,0.55935,0.55935,0.55935
1735700400000,0.55935,0.55935,0.55935,0.55935
1735704000000,0.55935,0.55935,0.55935,0.55935
1735707600000,0.55935,0.55935,0.55935,0.55935
1735711200000,0.55935,0.55935,0.55935,0.55935
1735714800000,0.55935,0.55935,0.55935,0.55935
1735718400000,0.55935,0.55935,0.55935,0.55935
1735722000000,0.55935,0.55935,0.55935,0.55935
1735725600000,0.55935,0.55935,0.55935,0.55935
1735729200000,0.55935,0.55935,0.55935,0.55935
1735732800000,0.55935,0.55935,0.55935,0.55935
1735736400000,0.55935,0.55935,0.55935,0.55935
1735740000000,0.55935,0.55935,0.55935,0.55935
1735743600000,0.55935,0.55935,0.55935,0.55935
1735747200000,0.55935,0.55935,0.55935,0.55935
1735750800000,0.55935,0.55935,0.55935,0.55935
1735754400000,0.55935,0.55935,0.55935,0.55935
1735758000000,0.55935,0.55935,0.55935,0.55935
1735761600000,0.55935,0.55935,0.55935,0.55935
1735765200000,0.55935,0.55935,0.55935,0.55935
1735768800000,0.55941,0.56012,0.55886,0.56009
1735772400000,0.56008,0.56035,0.55927,0.55971
1735776000000,0.55971,0.56052,0.55924,0.56028
1735779600000,0.56029,0.56157,0.56006,0.56144
1735783200000,0.56144,0.56208,0.56113,0.56207
1735786800000,0.56206,0.56208,0.56135,0.56158
1735790400000,0.56157,0.562,0.56153,0.5616
1735794000000,0.5616,0.56164,0.56112,0.56141
1735797600000,0.5614,0.56146,0.56088,0.56123
1735801200000,0.56123,0.56137,0.56073,0.56078
1735804800000,0.56077,0.56152,0.56037,0.56149
1735808400000,0.56149,0.56241,0.56137,0.56183
1735812000000,0.56184,0.5621,0.56078,0.56087
1735815600000,0.56086,0.56148,0.56065,0.56133
1735819200000,0.56134,0.56151,0.5607,0.56076
1735822800000,0.56078,0.56135,0.56017,0.56107
1735826400000,0.56108,0.56156,0.56036,0.56063
1735830000000,0.56063,0.56132,0.5601,0.56018
1735833600000,0.56017,0.56026,0.55904,0.55984
1735837200000,0.55984,0.56031,0.55919,0.55936
1735840800000,0.55933,0.55951,0.55876,0.55914
1735844400000,0.55915,0.55941,0.55864,0.55871
1735848000000,0.5587,0.55964,0.5587,0.55925
1735851600000,0.55926,0.5596,0.55922,0.55935
1735855200000,0.55927,0.55963,0.55862,0.55951
1735858800000,0.55954,0.55963,0.55904,0.55926
1735862400000,0.55928,0.56075,0.55926,0.56068
1735866000000,0.56069,0.56069,0.55976,0.55999
1735869600000,0.55999,0.56054,0.5599,0.56034
1735873200000,0.56034,0.56065,0.56019,0.56041
1735876800000,0.56038,0.56064,0.56011,0.56059
1735880400000,0.56061,0.56104,0.56049,0.56062
1735884000000,0.56061,0.56099,0.56052,0.56088
1735887600000,0.56088,0.56102,0.55925,0.56013
1735891200000,0.56013,0.56052,0.5594,0.55966
1735894800000,0.55965,0.5607,0.55965,0.56007
1735898400000,0.56006,0.56025,0.55976,0.55995
1735902000000,0.55995,0.56082,0.55994,0.56059
1735905600000,0.56058,0.56075,0.56016,0.56061
1735909200000,0.5606,0.56087,0.56017,0.56045
1735912800000,0.56045,0.56124,0.56029,0.56106
1735916400000,0.56104,0.56106,0.5593,0.55997
1735920000000,0.55995,0.56067,0.5599,0.56025
1735923600000,0.56024,0.56132,0.56024,0.56065
1735927200000,0.56065,0.56105,0.56038,0.56061
1735930800000,0.56059,0.56127,0.56042,0.56081
1735934400000,0.5608,0.56128,0.56065,0.56082
1735938000000,0.5608,0.56138,0.56079,0.56097
1735941600000,0.56097,0.56097,0.56097,0.56097
1735945200000,0.56097,0.56097,0.56097,0.56097
1735948800000,0.56097,0.56097,0.56097,0.56097
1735952400000,0.56097,0.56097,0.56097,0.56097
1735956000000,0.56097,0.56097,0.56097,0.56097
1735959600000,0.56097,0.56097,0.56097,0.56097
1735963200000,0.56097,0.56097,0.56097,0.56097
1735966800000,0.56097,0.56097,0.56097,0.56097
1735970400000,0.56097,0.56097,0.56097,0.56097
1735974000000,0.56097,0.56097,0.56097,0.56097
1735977600000,0.56097,0.56097,0.56097,0.56097
1735981200000,0.56097,0.56097,0.56097,0.56097
1735984800000,0.56097,0.56097,0.56097,0.56097
1735988400000,0.56097,0.56097,0.56097,0.56097
1735992000000,0.56097,0.56097,0.56097,0.56097
1735995600000,0.56097,0.56097,0.56097,0.56097
1735999200000,0.56097,0.56097,0.56097,0.56097
1736002800000,0.56097,0.56097,0.56097,0.56097
1736006400000,0.56097,0.56097,0.56097,0.56097
1736010000000,0.56097,0.56097,0.56097,0.56097
1736013600000,0.56097,0.56097,0.56097,0.56097
1736017200000,0.56097,0.56097,0.56097,0.56097
1736020800000,0.56097,0.56097,0.56097,0.56097
1736024400000,0.56097,0.56097,0.56097,0.56097
1736028000000,0.56097,0.56097,0.56097,0.56097
1736031600000,0.56097,0.56097,0.56097,0.56097
1736035200000,0.56097,0.56097,0.56097,0.56097
1736038800000,0.56097,0.56097,0.56097,0.56097
1736042400000,0.56097,0.56097,0.56097,0.56097
1736046000000,0.56097,0.56097,0.56097,0.56097
1736049600000,0.56097,0.56097,0.56097,0.56097
1736053200000,0.56097,0.56097,0.56097,0.56097
1736056800000,0.56097,0.56097,0.56097,0.56097
1736060400000,0.56097,0.56097,0.56097,0.56097
1736064000000,0.56097,0.56097,0.56097,0.56097
1736067600000,0.56097,0.56097,0.56097,0.56097
1736071200000,0.56097,0.56097,0.56097,0.56097
1736074800000,0.56097,0.56097,0.56097,0.56097
1736078400000,0.56097,0.56097,0.56097,0.56097
1736082000000,0.56097,0.56097,0.56097,0.56097
