timestamp,open,high,low,close
1735689600000,0.9072,0.9072,0.9072,0.9072
1735693200000,0.9072,0.9072,0.9072,0.9072
1735696800000,0.9072,0.9072,0.9072,0.9072
1735700400000,0.9072,0.9072,0.9072,0.9072
1735704000000,0.9072,0.9072,0.9072,0.9072
1735707600000,0.9072,0.9072,0.9072,0.9072
1735711200000,0.9072,0.9072,0.9072,0.9072
1735714800000,0.9072,0.9072,0.9072,0.9072
1735718400000,0.9072,0.9072,0.9072,0.9072
1735722000000,0.9072,0.9072,0.9072,0.9072
1735725600000,0.9072,0.9072,0.9072,0.9072
1735729200000,0.9072,0.9072,0.9072,0.9072
1735732800000,0.9072,0.9072,0.9072,0.9072
1735736400000,0.9072,0.9072,0.9072,0.9072
1735740000000,0.9072,0.9072,0.9072,0.9072
1735743600000,0.9072,0.9072,0.9072,0.9072
1735747200000,0.9072,0.9072,0.9072,0.9072
1735750800000,0.9072,0.9072,0.9072,0.9072
1735754400000,0.9072,0.9072,0.9072,0.9072
1735758000000,0.9072,0.9072,0.9072,0.9072
1735761600000,0.9072,0.9072,0.9072,0.9072
1735765200000,0.9072,0.9072,0.9072,0.9072
1735768800000,0.90517,0.90637,0.90483,0.90613
1735772400000,0.90613,0.90779,0.90613,0.90767
1735776000000,0.90768,0.90778,0.90649,0.90682
1735779600000,0.90682,0.90738,0.90596,0.90601
1735783200000,0.90601,0.90601,0.90508,0.9051
1735786800000,0.9051,0.90515,0.9046,0.90465
1735790400000,0.90465,0.90475,0.90422,0.90445
1735794000000,0.90446,0.90511,0.90434,0.90497
1735797600000,0.90496,0.90515,0.90472,0.90478
1735801200000,0.90479,0.90483,0.9039,0.90467
1735804800000,0.90467,0.90585,0.90441,0.9049
1735808400000,0.9049,0.90517,0.90387,0.90476
1735812000000,0.90477,0.9074,0.90446,0.90726
1735815600000,0.90728,0.90799,0.90625,0.90777
1735819200000,0.90777,0.90825,0.90717,0.90813
1735822800000,0.90812,0.90897,0.90763,0.90868
1735826400000,0.90867,0.90957,0.90778,0.90943
1735830000000,0.90944,0.91085,0.90914,0.91072
1735833600000,0.91071,0.91368,0.9107,0.91238
1735837200000,0.91239,0.91301,0.91181,0.91236
1735840800000,0.91236,0.91248,0.91205,0.91227
1735844400000,0.91225,0.91349,0.91219,0.9134
1735848000000,0.91341,0.91341,0.91251,0.91271
1735851600000,0.9127,0.91274,0.91219,0.91219
1735855200000,0.91217,0.91217,0.91135,0.91179
1735858800000,0.91179,0.91241,0.91179,0.91202
1735862400000,0.91203,0.91219,0.91141,0.91148
1735866000000,0.91148,0.91192,0.91144,0.91153
1735869600000,0.91154,0.91154,0.91088,0.91106
1735873200000,0.91103,0.91217,0.91098,0.91198
1735876800000,0.91198,0.91244,0.91179,0.91182
1735880400000,0.91182,0.91184,0.91113,0.9114
1735884000000,0.9114,0.91163,0.91069,0.91078
1735887600000,0.91079,0.91119,0.90986,0.91017
1735891200000,0.91016,0.91095,0.90995,0.91043
1735894800000,0.91043,0.91043,0.90857,0.90916
1735898400000,0.90914,0.90985,0.90893,0.90982
1735902000000,0.9098,0.9098,0.90881,0.90929
1735905600000,0.9093,0.90942,0.9087,0.90914
1735909200000,0.90913,0.90955,0.90881,0.90933
1735912800000,0.90933,0.90984,0.90797,0.90828
1735916400000,0.90839,0.91074,0.90838,0.91061
1735920000000,0.91062,0.91062,0.90926,0.90964
1735923600000,0.90964,0.90964,0.90856,0.90922
1735927200000,0.90921,0.9098,0.90896,0.90943
1735930800000,0.90944,0.90958,0.90852,0.90903
1735934400000,0.90906,0.90923,0.90859,0.90887
1735938000000,0.90889,0.90903,0.90816,0.90822
1735941600000,0.90822,0.90822,0.90822,0.90822
1735945200000,0.90822,0.90822,0.90822,0.90822
1735948800000,0.90822,0.90822,0.90822,0.90822
1735952400000,0.90822,0.90822,0.90822,0.90822
1735956000000,0.90822,0.90822,0.90822,0.90822
1735959600000,0.90822,0.90822,0.90822,0.90822
1735963200000,0.90822,0.90822,0.90822,0.90822
1735966800000,0.90822,0.90822,0.90822,0.90822
1735970400000,0.90822,0.90822,0.90822,0.90822
1735974000000,0.90822,0.90822,0.90822,0.90822
1735977600000,0.90822,0.90822,0.90822,0.90822
1735981200000,0.90822,0.90822,0.90822,0.90822
1735984800000,0.90822,0.90822,0.90822,0.90822
1735988400000,0.90822,0.90822,0.90822,0.90822
1735992000000,0.90822,0.90822,0.90822,0.90822
1735995600000,0.90822,0.90822,0.90822,0.90822
1735999200000,0.90822,0.90822,0.90822,0.90822
1736002800000,0.90822,0.90822,0.90822,0.90822
1736006400000,0.90822,0.90822,0.90822,0.90822
1736010000000,0.90822,0.90822,0.90822,0.90822
1736013600000,0.90822,0.90822,0.90822,0.90822
1736017200000,0.90822,0.90822,0.90822,0.90822
1736020800000,0.90822,0.90822,0.90822,0.90822
1736024400000,0.90822,0.90822,0.90822,0.90822
1736028000000,0.90822,0.90822,0.90822,0.90822
1736031600000,0.90822,0.90822,0.90822,0.90822
1736035200000,0.90822,0.90822,0.90822,0.90822
1736038800000,0.90822,0.90822,0.90822,0.90822
1736042400000,0.90822,0.90822,0.90822,0.90822
1736046000000,0.90822,0.90822,0.90822,0.90822
1736049600000,0.90822,0.90822,0.90822,0.90822
1736053200000,0.90822,0.90822,0.90822,0.90822
1736056800000,0.90822,0.90822,0.90822,0.90822
1736060400000,0.90822,0.90822,0.90822,0.90822
1736064000000,0.90822,0.90822,0.90822,0.90822
1736067600000,0.90822,0.90822,0.90822,0.90822
1736071200000,0.90822,0.90822,0.90822,0.90822
1736074800000,0.90822,0.90822,0.90822,0.90822
1736078400000,0.90822,0.90822,0.90822,0.90822
1736082000000,0.90822,0.90822,0.90822,0.90822
1736085600000,0.90822,0.90822,0.90822,0.90822
1736089200000,0.90822,0.90822,0.90822,0.90822
1736092800000,0.90822,0.90822,0.90822,0.90822
1736096400000,0.90822,0.90822,0.90822,0.90822
1736100000000,0.90822,0.90822,0.90822,0.90822
1736103600000,0.90822,0.90822,0.90822,0.90822
1736107200000,0.90822,0.90822,0.90822,0.90822
1736110800000,0.90822,0.90822,0.90822,0.90822
1736114400000,0.9086,0.9089,0.90822,0.90836
1736118000000,0.90833,0.90938,0.90833,0.90932
1736121600000,0.90934,0.91046,0.90934,0.90976
1736125200000,0.90976,0.91005,0.90923,0.90985
1736128800000,0.90984,0.9099,0.90947,0.90951
1736132400000,0.90951,0.90968,0.90923,0.90934
1736136000000,0.90934,0.90944,0.90915,0.90928
1736139600000,0.90926,0.90963,0.90906,0.90955
1736143200000,0.90956,0.90992,0.90942,0.90966
1736146800000,0.90965,0.90988,0.90793,0.90809
1736150400000,0.90808,0.90815,0.90608,0.90619
1736154000000,0.90622,0.9066,0.90535,0.90595
1736157600000,0.90595,0.90658,0.90565,0.90656
1736161200000,0.90656,0.90671,0.90115,0.90178
1736164800000,0.90178,0.90297,0.90115,0.90177
1736168400000,0.90177,0.90253,0.90079,0.90225
1736172000000,0.90226,0.90667,0.90163,0.90408
1736175600000,0.90409,0.906,0.90374,0.90493
1736179200000,0.9049,0.90494,0.90386,0.90432
1736182800000,0.90432,0.90481,0.90381,0.90395
1736186400000,0.90395,0.90506,0.9039,0.90486
1736190000000,0.90487,0.905,0.9041,0.90443
1736193600000,0.90442,0.90471,0.90421,0.90457
1736197200000,0.90457,0.9047,0.90429,0.90445
1736200800000,0.90441,0.90476,0.90417,0.90449
1736204400000,0.90458,0.90518,0.90441,0.90491
1736208000000,0.9049,0.90596,0.9049,0.90532
1736211600000,0.90534,0.90574,0.90505,0.90529
1736215200000,0.9053,0.90556,0.90488,0.90529
