timestamp,open,high,low,close
1640995200000,1.35177,1.35177,1.35177,1.35177
1640998800000,1.35177,1.35177,1.35177,1.35177
1641002400000,1.35177,1.35177,1.35177,1.35177
1641006000000,1.35177,1.35177,1.35177,1.35177
1641009600000,1.35177,1.35177,1.35177,1.35177
1641013200000,1.35177,1.35177,1.35177,1.35177
1641016800000,1.35177,1.35177,1.35177,1.35177
1641020400000,1.35177,1.35177,1.35177,1.35177
1641024000000,1.35177,1.35177,1.35177,1.35177
1641027600000,1.35177,1.35177,1.35177,1.35177
1641031200000,1.35177,1.35177,1.35177,1.35177
1641034800000,1.35177,1.35177,1.35177,1.35177
1641038400000,1.35177,1.35177,1.35177,1.35177
1641042000000,1.35177,1.35177,1.35177,1.35177
1641045600000,1.35177,1.35177,1.35177,1.35177
1641049200000,1.35177,1.35177,1.35177,1.35177
1641052800000,1.35177,1.35177,1.35177,1.35177
1641056400000,1.35177,1.35177,1.35177,1.35177
1641060000000,1.35177,1.35177,1.35177,1.35177
1641063600000,1.35177,1.35177,1.35177,1.35177
1641067200000,1.35177,1.35177,1.35177,1.35177
1641070800000,1.35177,1.35177,1.35177,1.35177
1641074400000,1.35177,1.35177,1.35177,1.35177
1641078000000,1.35177,1.35177,1.35177,1.35177
1641081600000,1.35177,1.35177,1.35177,1.35177
1641085200000,1.35177,1.35177,1.35177,1.35177
1641088800000,1.35177,1.35177,1.35177,1.35177
1641092400000,1.35177,1.35177,1.35177,1.35177
1641096000000,1.35177,1.35177,1.35177,1.35177
1641099600000,1.35177,1.35177,1.35177,1.35177
1641103200000,1.35177,1.35177,1.35177,1.35177
1641106800000,1.35177,1.35177,1.35177,1.35177
1641110400000,1.35177,1.35177,1.35177,1.35177
1641114000000,1.35177,1.35177,1.35177,1.35177
1641117600000,1.35177,1.35177,1.35177,1.35177
1641121200000,1.35177,1.35177,1.35177,1.35177
1641124800000,1.35177,1.35177,1.35177,1.35177
1641128400000,1.35177,1.35177,1.35177,1.35177
1641132000000,1.35177,1.35177,1.35177,1.35177
1641135600000,1.35177,1.35177,1.35177,1.35177
1641139200000,1.35177,1.35177,1.35177,1.35177
